dates,shore,Hs,Tp,Dir,Eng,,,real_dates
21/02/2012,386.3057726,1.0327324,11.7981415,231.06879,6.165741109,,,
22/02/2012,386.3309414,0.82891613,10.599587,235.16534,3.568668482,,,
23/02/2012,386.3568564,1.2455221,8.501951,239.25847,6.462752933,,,
24/02/2012,386.3834841,1.6711018,6.694813,233.4848,9.160946457,,,
25/02/2012,386.4107877,2.050954,7.860813,232.87993,16.20225208,,,
26/02/2012,386.4387263,2.0861804,10.237968,237.00124,21.83300778,,,
27/02/2012,386.4672557,1.7790719,7.3854012,236.1998,11.45399985,,,
28/02/2012,386.4963274,1.3607475,7.976707,235.16603,7.237270583,,,
29/02/2012,386.5258888,1.2496271,10.394148,236.57578,7.953272198,,,
1/03/2012,386.5558831,2.2151525,7.3624897,232.80707,17.70223251,,,
2/03/2012,386.5862492,2.1373491,6.649181,233.08682,14.88384575,,,
3/03/2012,386.6169211,2.2971563,8.998461,241.76315,23.26726898,,,
4/03/2012,386.6478283,2.0952494,9.121419,236.81978,19.62139749,,,
5/03/2012,386.6788953,1.764084,7.3318458,235.29663,11.18015757,,,
6/03/2012,386.7100416,1.4837055,9.911959,234.31648,10.69180403,,,
7/03/2012,386.7411813,1.4117254,8.245534,235.7812,8.052214293,,,
8/03/2012,386.7722232,1.4855193,6.4881325,233.8972,7.015722257,,,
9/03/2012,386.8030707,1.1409888,8.916075,233.24423,5.687645971,,,
10/03/2012,386.8336214,0.91454756,9.58547,231.38153,3.928457717,,,
11/03/2012,386.863767,0.9858594,11.608835,237.65147,5.528593794,,,
12/03/2012,386.8933932,2.1506188,7.438384,237.52225,16.85782537,,,
13/03/2012,386.9223797,2.044749,6.9234495,235.12686,14.18399658,,,
14/03/2012,386.9505998,1.782604,7.204019,235.18253,11.21710236,,,
15/03/2012,386.9779203,1.6554457,8.018711,236.72356,10.7678878,,,
16/03/2012,387.0042017,1.6134413,7.171466,235.77914,9.147667342,,,
17/03/2012,387.0292976,1.4002697,7.6245394,233.4092,7.325429208,,,
18/03/2012,387.0530547,0.8218518,12.080811,231.22275,3.998335117,,,
19/03/2012,387.075313,1.5402203,13.423325,233.26347,15.60349447,,,
20/03/2012,387.0959053,2.2328134,13.823893,231.26743,33.77001887,,,
21/03/2012,387.1146573,1.7953008,12.555172,233.33633,19.82865222,,,
22/03/2012,387.1313873,1.6566867,14.767461,234.55568,19.8601573,,,
